Video ID,Comment ID,comments
TXakJYHe9uQ,UgxuwWA7KOjlzf8_zL14AaABAg,You  so  fuckin'  precious  when  you  smile  Hit  it  from  the  back  and  drive  you  wild  Girl    I  lose  myself  up  in  those  eyes  I  just  had  to  let  you  know  you're  mine  Hands  on  your  body    I  don't  wanna  waste  no  time  Feels  like  forever  even  if  forever's  tonight  Just  lay  with  me    waste  this  night  away  with  me  You're  mine    I  can't  look  away    I  just  gotta  say  I'm  so  fucking  happy  you're  alive  Swear  to  God    I'm  down  if  you're  down  all  you  gotta  say  is  right  Girl  anything  I  can  do  just  to  make  you  feel  alright  Oh    I  just  had  to  let  you  know  you're  fine  Running  circles  'round  my  mind  Even  when  it's  rainy  all  you  ever  do  is  shine  You  on  fire    you  a  star  just  like  Mariah  Man  this  feel  incredible    I'll  turn  you  into  a  bride    you're  mine  Hands  on  your  body    I  don't  wanna  waste  no  time  Feels  like  forever  even  if  forever's  tonight  Just  lay  with  me    waste  this  night  away  with  me  You're  mine    I  can't  look  away    I  just  gotta  say
TXakJYHe9uQ,UgwDi1tseKNUp2e81jB4AaABAg,You  so  fuckin'  precious  when  you  smile  Hit  it  from  the  back  and  drive  you  wild  Girl    I  lose  myself  up  in  those  eyes  I  just  had  to  let  you  know  you're  mine    Hands  on  your  body    I  don't  wanna  waste  no  time  Feels  like  forever  even  if  forever's  tonight  Just  lay  with  me    waste  this  night  away  with  me  You're  mine    I  can't  look  away    I  just  gotta  say    I'm  so  fucking  happy  you're  alive  Swear  to  God    I'm  down  if  you're  down  all  you  gotta  say  is  right  Girl  anything  I  can  do  just  to  make  you  feel  alright  Oh    I  just  had  to  let  you  know  you're  fine  Running  circles  'round  my  mind  Even  when  it's  rainy  all  you  ever  do  is  shine  You  on  fire    you  a  star  just  like  Mariah  Man  this  feel  incredible    I'll  turn  you  into  a  bride    you're  mine    Hands  on  your  body    I  don't  wanna  waste  no  time  Feels  like  forever  even  if  forever's  tonight  Just  lay  with  me    waste  this  night  away  with  me  You're  mine    I  can't  look  away    I  just  gotta  say
TXakJYHe9uQ,Ugwuq0JivivP7odsRDZ4AaABAg,2  44  my  ears  were  impregnated  yet  blessed
TXakJYHe9uQ,UgzOoveO0rEie_bjywR4AaABAg,Whc  microphn  u  use  for  recording  
TXakJYHe9uQ,UgwwjNpGumwzNwViOpF4AaABAg,  fast  car    I  want  you  to  sing  that  song  
TXakJYHe9uQ,UgzlSieZBSb2SfMipcN4AaABAg,Love  your  vocals      Suggestion        Hope  I'm  not  overstepping                  Ok  I  LOVE  the  score  arrangement  and  the  vocal  harmonics        A  fantastic  cover  group  is  Boyce  Avenue      They  are  amazing  because  they  take  the  original  and  make  it  their  own      You've  started  that  here      but  you  need  to  be  more  courageous  and  take  it  further      This  song  is  gorgeous      and  for  voices  are  well  suited  for  it      Try  softening  the  lyrics    profanity  is  not  suited  for  main  stream        Just  because  Bazzi  breaks  up  note  streams  doesn't  mean  you  have  to      Play  with  different  expressions  of  the  melody  that  don't  feel  like  his      There  is  a  female  duo  on  YouTube  that  did  a  cover  of  this  song      and  while  I  didn't  care  for  THEIR  performance    sorry  ladies      their  lyric  changes  and  arrangement  was  brilliant        You  both  obviously  have  a  lot  of  talent      This  was  lovely  to  listen  to    even  if  I  did  critique  it      Keep  it  up  
TXakJYHe9uQ,UgyLzGeMW0x9R0jKt5R4AaABAg,What  happened  to  these  guys    I  wanna  see  more  of  them
TXakJYHe9uQ,UgzZFzutXlGI_NhHPtJ4AaABAg,You  guys  are  really  good        could  you  please  sing  Creep  by  Radiohead  
TXakJYHe9uQ,Ugwg4VqIOlHOE0vKaKR4AaABAg,Son  arte
TXakJYHe9uQ,UgwZgoH7QFJlna9qLiV4AaABAg,Damn            Ok  so  thts  wt  love  is  lyk          
TXakJYHe9uQ,Ugxl5uaoz39y_bquhSF4AaABAg,hell  yeah    wow
TXakJYHe9uQ,UgyS4EATcLAyZAg_y914AaABAg,Kev  and  Nick  does  it  again
TXakJYHe9uQ,Ugwo4qWLpMspl4X5-_J4AaABAg,I  need  more    Where  have  you  been  
TXakJYHe9uQ,UgyoV8ZxHq-KboN3B_h4AaABAg,Better  than  original    
TXakJYHe9uQ,UgxI9seAPigy6KMX9Bp4AaABAg,Way  to  go  guys          If  it's  tricky  to  make  better  vocal  arrangements  than  the  original    which  you  did  great  btw    your  music  arrangement  is  awesome        
TXakJYHe9uQ,UgwxNifmdHIC30b_rah4AaABAg,Need  more      
TXakJYHe9uQ,UgwZSOzRJvo4gtvJgzp4AaABAg,I  have  no  doubt  these  guys  are  gonna  go  big    Very  talented  vocals  and  harmonizing  is  amazing    Surprised  you  arent  covering  some  of  Dan  and  shay  songs    Ive  been  subscribed  to  many  YouTubers  before  they  went  big  and  I  just  subscribed  to  another    Enjoy  the  fam  boys    Don't  let  it  change  who  you  are      Love  from  Canada
TXakJYHe9uQ,Ugwwdk42t1ye7i4a7RR4AaABAg,  speachless  
TXakJYHe9uQ,Ugx-hKj7oXgggZIxIoJ4AaABAg,Never  clicked  on  a  vid  faster
TXakJYHe9uQ,UgzgWE9yzjcwD1H7qG14AaABAg,  mindblownn  
TXakJYHe9uQ,UgzNf1e9sse3P2SVfhN4AaABAg,Spotify  doesn  t  have  your  song  anyway  I  can  get  it  in  Spotify    I  just  clicked  the  link  in  your  bio  but  it  didn  t  work
TXakJYHe9uQ,Ugyn0B9WRTrLzL5mwCh4AaABAg,Replay  button  raped
TXakJYHe9uQ,Ugx6yG7X3kvubaQfOyl4AaABAg,most  of  these  views  are  mine  hehe
TXakJYHe9uQ,Ugz2EA1b56nmi4iOWXR4AaABAg,Are  they  brothers  or  friends  
TXakJYHe9uQ,UgxR-u7zxa0BsjhQGvR4AaABAg,Tf  2  2k  subs  like  wtf  YouTube  what's  wrong  with  u
TXakJYHe9uQ,Ugx7vm-IAm61oFOyGkR4AaABAg,Holy  auto  tune    No  hate  tho
TXakJYHe9uQ,UgwG-tARTbioSGfbCpR4AaABAg,please  don't  take  this  to  offense  but  are  you  guys  gay
