Channel,Video Title,Video Description,Video ID,Comment,Comment ID,Replies,Likes
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,Hermosa música :),Ugxwp606DBRl4T890l94AaABAg,0,1
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,"""YEAH YOU GOT THAT YUMMY YUM""",UgwDTunOsLVos4hJgf54AaABAg,0,1
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,Вот так вокал! Вот так смысл! Вот так хореография!! Весь мир с ума сошел от этого талантища!),Ugxb3mG8oBBN8Kporp54AaABAg,0,0
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,"*""OH MY GOODNESS""*
*""this is the thing u need""* *""**Pg2.BeSt**""*
*""There are no limits here, Am I right?”*
*""完璧""*",UgwNj7H6Th5RH9elY714AaABAg,0,0
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,Does anyone else notice that his sweater has rips and holes in it? Like he was attacked aggressor? Don't think it's coincidence guys. Definitely a message.,Ugzj1zaB8QyyMFtcaYR4AaABAg,6,310
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,אי אךי,UgyTSJiSkfSvQ_Uy4214AaABAg,1,3
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,New release: Road to One available to Pre-Save now! Coming soon to all major music platforms https://ditto.fm/road-to-one via @DittoMusic,Ugz_ZTd3q7oM2hWcCY54AaABAg,0,1
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,1:13 killer smile 😍🤩,UgxaFASecaE9ARLhXlh4AaABAg,0,2
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,Yummy love from india 🇮🇳🙏,UgywjXc6lTJ1XXjymBh4AaABAg,0,2
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,"LISTEN, THE VEIL IS BEING LIFTED. THE MOST HIGH HAS COMMANDED  SATAN AND HIS FOLLOWERS TO EXPOSE THEIR HAND",UgyEzLKEBonoD66szBV4AaABAg,7,138
