Channel,Video Title,Video Description,Video ID,Comment,Comment ID,Replies,Likes,clean_comments,language
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,this song hits different on mute,UgzDrN5Bp8ONaZUTF_x4AaABAg,0,0,this song hits different on mute,en
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,Cant believe its been a year,UgwqO7s9DcODlcwPZvh4AaABAg,0,0,Cant believe its been a year,en
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,Its so beri beri good,UgzhAbNgr6RnxUNZE3l4AaABAg,0,1,Its so beri beri good,en
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,It all makes sense now doesn't it? we were all confused at first at this song and everyone was saying why is he trying so hard to promote it He wanted us to realise and get the message..,UgwCBOYdLIg9kRbVB4t4AaABAg,75,4742,It all makes sense now doesn't it? we were all confused at first at this song and everyone was saying why is he trying so hard to promote it He wanted us to realise and get the message..,en
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,"Maybe the reason he’s saying “you got that yummy” is because thats what was said to him, and thats what they say to the kids they assaulted around him.",Ugy648jHDBOZk6pV9AR4AaABAg,51,2422,"Maybe the reason he’s saying “you got that yummy” is because thats what was said to him, and thats what they say to the kids they assaulted around him.",en
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,"All the food is related to children. Jello, fries, cheese puffs, cakes... all things that children would be drawn to. Does it represent adults consuming children? Or them luring them in like a pedo does with candy?",UgxvST7EoppFsdpPDZd4AaABAg,36,1540,"All the food is related to children. Jello, fries, cheese puffs, cakes... all things that children would be drawn to. Does it represent adults consuming children? Or them luring them in like a pedo does with candy?",en
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,"Someone: so how did this song come to your mind?
Justin: Well I was hungry",UgxpKUZFV2N9CTgVATx4AaABAg,28,1670,"Someone: so how did this song come to your mind?
Justin: Well I was hungry",en
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,The scariest part is that at the end he put a picture of his younger self. It could've been any other picture but this one was chosen. :/,UgygTgAQLDa_gqw6dUp4AaABAg,7,557,The scariest part is that at the end he put a picture of his younger self. It could've been any other picture but this one was chosen. :/,en
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,If they do something to Justin were all coming for them,UgxTGS5C8IuGEJ-4D694AaABAg,20,879,If they do something to Justin were all coming for them,en
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,rip to all the kids who lost there lives due to these monsters🕊🕊,UgxOfLiYbhte3K0amCl4AaABAg,10,445,rip to all the kids who lost there lives due to these monsters,en
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,i love the Look and it looks so good and the Stio,UgxbJOBn19UFkgM-h8N4AaABAg,0,3,i love the Look and it looks so good and the Stio,en
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,Now he is being accused of sexual assault. Normally I wouldn't doubt a woman but he has proof backing up his story.... the elite isn't gonna let you expose them. Stay in Canada  JB If you can ....,UgxOcUkId40cbFrof6V4AaABAg,6,110,Now he is being accused of sexual assault. Normally I wouldn't doubt a woman but he has proof backing up his story.... the elite isn't gonna let you expose them. Stay in Canada  JB If you can ....,en
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,I love your songs 😍. And love you 😘♥️,UgxLobrBq0oE5t7yrFF4AaABAg,0,1,I love your songs . And love you ,en
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,The best song,UgxYB1fMUvmGu3aSxb54AaABAg,0,0,The best song,en
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,I seriously thought this was a romantic song 👁👄👁,Ugwl045zjrphwxKLeEt4AaABAg,0,8,I seriously thought this was a romantic song ,en
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,When he says “yeah babe yeah babe” he still sounds like 2010 Bieber,UgyP7OclW6YMBgd-SEp4AaABAg,27,1780,When he says “yeah babe yeah babe” he still sounds like 2010 Bieber,en
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,"Justin: Yummy, Yummy, Yummy
Dross: Que lo violaron dice",Ugyn8kjA5wGTWhIA9-14AaABAg,19,334,"Justin: Yummy, Yummy, Yummy
Dross: Que lo violaron dice",en
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,Love form Nepal 💞😥🌹🌹❣️,UgzBTtpQsNIFsSyOXLJ4AaABAg,0,0,Love form Nepal ,en
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,"I love your song you inspire me to be a singer make more 
😀",UgxUzhHYNCRcOOTYPhR4AaABAg,1,1,"I love your song you inspire me to be a singer make more 
",en
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,Wait I thought this song was old but it was just last year 2020 right before COVID wow,Ugwo1pG5EXrg2vALgFl4AaABAg,0,1,Wait I thought this song was old but it was just last year 2020 right before COVID wow,en
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,The video has such a dark story to it.,UgwUXV8Mq_KdPswtNOJ4AaABAg,0,1,The video has such a dark story to it.,en
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,"Your the 
BEST!",UgyJTi-Eq3SGiGxZ5uB4AaABAg,0,2,"Your the 
BEST!",en
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,"Yo... I'm not into conspiracies or even a fan of Justin Bieber but this is absolutely trying to say something. The baby pic at the end, the handkerchief, honestly just the look in his eyes the entire video says SOMETHING. I'm scared for him.",UgyeaP7hJvfydRQa1rt4AaABAg,125,5468,"Yo... I'm not into conspiracies or even a fan of Justin Bieber but this is absolutely trying to say something. The baby pic at the end, the handkerchief, honestly just the look in his eyes the entire video says SOMETHING. I'm scared for him.",en
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,This song is so yummy yummy ☺️☺️,Ugx4Yv7M8m-7KWkiRIN4AaABAg,0,0,This song is so yummy yummy ,en
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,this is my favorite song,UgzU_NMnL0aEJ9iECfx4AaABAg,0,1,this is my favorite song,en
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,I love this song sooooo much,UgzvpJqX2kQwSCQ8BOR4AaABAg,0,1,I love this song sooooo much,en
JustinBieberVEVO,Justin Bieber - Yummy (Official Video),"Production Company: OBB Pictures Directed by: Nick DeMoura Co-Directed by: Jordan Taylor Executive Producers: Justin Bieber, Scooter Braun, Allison Kaye, ...",8EJ3zbKTWQ8,I like this song,UgxTp93tduet3cV63mN4AaABAg,0,0,I like this song,en
